what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1338245148436
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1338245148436
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338245152570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338245171221
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338245180487
started,bundle,org.eclipse.jgit,0.11.1,"org.eclipse.jgit",1338245196025
started,bundle,org.eclipse.egit.core,0.11.1,"org.eclipse.egit.core",1338245196071
started,bundle,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui",1338245196134
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338245230126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1338245230189
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1338245230189
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1338245233465
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1338245238519
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338245244900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338245255457
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338245255597
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338245257672
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338245257875
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1338245258327
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1338245258327
stopped,bundle,com.soyatec.database,3.7.1.20110624,"com.soyatec.database",1338245258826
stopped,bundle,com.soyatec.edepend,3.7.1.20110624,"com.soyatec.edepend",1338245258826
stopped,bundle,com.soyatec.eemf,3.7.1.20110624,"com.soyatec.eemf",1338245258826
stopped,bundle,com.soyatec.euml2,3.7.1.20110624,"com.soyatec.euml2",1338245258826
stopped,bundle,com.soyatec.project.diagram,3.7.1.20110624,"com.soyatec.project.diagram",1338245258826
stopped,bundle,com.soyatec.project,3.7.1.20110624,"com.soyatec.project",1338245258842
stopped,bundle,com.soyatec.additional,3.7.1.20110624,"com.soyatec.additional",1338245258842
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1338245258842
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1338245258842
stopped,bundle,com.soyatec.core,3.7.1.20110624,"com.soyatec.core",1338245258842
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1338245258858
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1338245258858
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1338245258858
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1338245258858
stopped,bundle,org.eclipse.mylyn.ide.ant,3.7.0.v20120319-0200,"org.eclipse.mylyn.ide.ant",1338245258858
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1338245258873
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1338245258873
